"","file","Replicate","Resonance","Area","Name"
"1","13C-VAN-1","4","C1",385.735,"TopSpin"
"2","13C-VAN-1","4","C2",376.217,"TopSpin"
"3","13C-VAN-1","4","C3",376.651,"TopSpin"
"4","13C-VAN-1","4","C4",373.955,"TopSpin"
"5","13C-VAN-1","4","C5",380.172,"TopSpin"
"6","13C-VAN-1","4","C6",378.506,"TopSpin"
"7","13C-VAN-1","4","C7",380.192,"TopSpin"
"8","13C-VAN-1","4","C8",377.825,"TopSpin"
"9","13C-VAN-1","5","C1",696.328,"TopSpin"
"10","13C-VAN-1","5","C2",682.758,"TopSpin"
"11","13C-VAN-1","5","C3",681.548,"TopSpin"
"12","13C-VAN-1","5","C4",679.122,"TopSpin"
"13","13C-VAN-1","5","C5",688.747,"TopSpin"
"14","13C-VAN-1","5","C6",686.378,"TopSpin"
"15","13C-VAN-1","5","C7",689.906,"TopSpin"
"16","13C-VAN-1","5","C8",685.504,"TopSpin"
"17","13C-VAN-1","6","C1",698.551,"TopSpin"
"18","13C-VAN-1","6","C2",683.79,"TopSpin"
"19","13C-VAN-1","6","C3",680.726,"TopSpin"
"20","13C-VAN-1","6","C4",679.071,"TopSpin"
"21","13C-VAN-1","6","C5",690.728,"TopSpin"
"22","13C-VAN-1","6","C6",687.742,"TopSpin"
"23","13C-VAN-1","6","C7",691.845,"TopSpin"
"24","13C-VAN-1","6","C8",686.389,"TopSpin"
"25","13C-VAN-1","7","C1",697.894,"TopSpin"
"26","13C-VAN-1","7","C2",683.695,"TopSpin"
"27","13C-VAN-1","7","C3",683.024,"TopSpin"
"28","13C-VAN-1","7","C4",678.6,"TopSpin"
"29","13C-VAN-1","7","C5",690.837,"TopSpin"
"30","13C-VAN-1","7","C6",686.637,"TopSpin"
"31","13C-VAN-1","7","C7",689.8,"TopSpin"
"32","13C-VAN-1","7","C8",685.284,"TopSpin"
"33","13C-VAN-1","8","C1",697.956,"TopSpin"
"34","13C-VAN-1","8","C2",683.796,"TopSpin"
"35","13C-VAN-1","8","C3",683.62,"TopSpin"
"36","13C-VAN-1","8","C4",679.773,"TopSpin"
"37","13C-VAN-1","8","C5",688.742,"TopSpin"
"38","13C-VAN-1","8","C6",687.762,"TopSpin"
"39","13C-VAN-1","8","C7",689.908,"TopSpin"
"40","13C-VAN-1","8","C8",686.19,"TopSpin"
"41","13C-VAN-1","9","C1",697.095,"TopSpin"
"42","13C-VAN-1","9","C2",681.877,"TopSpin"
"43","13C-VAN-1","9","C3",682.526,"TopSpin"
"44","13C-VAN-1","9","C4",678.359,"TopSpin"
"45","13C-VAN-1","9","C5",688.054,"TopSpin"
"46","13C-VAN-1","9","C6",685.312,"TopSpin"
"47","13C-VAN-1","9","C7",689.941,"TopSpin"
"48","13C-VAN-1","9","C8",685.042,"TopSpin"
"49","13C-VAN-4","4","C1",647.093,"TopSpin"
"50","13C-VAN-4","4","C2",636.43,"TopSpin"
"51","13C-VAN-4","4","C3",634.923,"TopSpin"
"52","13C-VAN-4","4","C4",633.04,"TopSpin"
"53","13C-VAN-4","4","C5",638.373,"TopSpin"
"54","13C-VAN-4","4","C6",639.177,"TopSpin"
"55","13C-VAN-4","4","C7",639.22,"TopSpin"
"56","13C-VAN-4","4","C8",626.491,"TopSpin"
"57","13C-VAN-4","5","C1",649.143,"TopSpin"
"58","13C-VAN-4","5","C2",635.612,"TopSpin"
"59","13C-VAN-4","5","C3",635.204,"TopSpin"
"60","13C-VAN-4","5","C4",632.822,"TopSpin"
"61","13C-VAN-4","5","C5",637.451,"TopSpin"
"62","13C-VAN-4","5","C6",637.946,"TopSpin"
"63","13C-VAN-4","5","C7",639.242,"TopSpin"
"64","13C-VAN-4","5","C8",625.183,"TopSpin"
"65","13C-VAN-4","6","C1",648.999,"TopSpin"
"66","13C-VAN-4","6","C2",637.067,"TopSpin"
"67","13C-VAN-4","6","C3",635.095,"TopSpin"
"68","13C-VAN-4","6","C4",633.389,"TopSpin"
"69","13C-VAN-4","6","C5",638.057,"TopSpin"
"70","13C-VAN-4","6","C6",638.347,"TopSpin"
"71","13C-VAN-4","6","C7",639.533,"TopSpin"
"72","13C-VAN-4","6","C8",625.965,"TopSpin"
"73","13C-VAN-4","7","C1",648.12,"TopSpin"
"74","13C-VAN-4","7","C2",636.117,"TopSpin"
"75","13C-VAN-4","7","C3",635.808,"TopSpin"
"76","13C-VAN-4","7","C4",633.109,"TopSpin"
"77","13C-VAN-4","7","C5",636.052,"TopSpin"
"78","13C-VAN-4","7","C6",638.655,"TopSpin"
"79","13C-VAN-4","7","C7",640.063,"TopSpin"
"80","13C-VAN-4","7","C8",626.264,"TopSpin"
"81","13C-VAN-4","8","C1",649.18,"TopSpin"
"82","13C-VAN-4","8","C2",635.446,"TopSpin"
"83","13C-VAN-4","8","C3",634.449,"TopSpin"
"84","13C-VAN-4","8","C4",632.774,"TopSpin"
"85","13C-VAN-4","8","C5",638.132,"TopSpin"
"86","13C-VAN-4","8","C6",637.493,"TopSpin"
"87","13C-VAN-4","8","C7",638.139,"TopSpin"
"88","13C-VAN-4","8","C8",626.049,"TopSpin"
"89","13C-VAN-4","9","C1",649.019,"TopSpin"
"90","13C-VAN-4","9","C2",636.679,"TopSpin"
"91","13C-VAN-4","9","C3",634.832,"TopSpin"
"92","13C-VAN-4","9","C4",632.476,"TopSpin"
"93","13C-VAN-4","9","C5",637.378,"TopSpin"
"94","13C-VAN-4","9","C6",637.163,"TopSpin"
"95","13C-VAN-4","9","C7",638.341,"TopSpin"
"96","13C-VAN-4","9","C8",625.596,"TopSpin"
"97","13C-VAN-8","4","C1",691.69,"TopSpin"
"98","13C-VAN-8","4","C2",678.329,"TopSpin"
"99","13C-VAN-8","4","C3",677.268,"TopSpin"
"100","13C-VAN-8","4","C4",675.422,"TopSpin"
"101","13C-VAN-8","4","C5",687.488,"TopSpin"
"102","13C-VAN-8","4","C6",683.822,"TopSpin"
"103","13C-VAN-8","4","C7",687.053,"TopSpin"
"104","13C-VAN-8","4","C8",689.027,"TopSpin"
"105","13C-VAN-8","5","C1",691.999,"TopSpin"
"106","13C-VAN-8","5","C2",680.3,"TopSpin"
"107","13C-VAN-8","5","C3",675.932,"TopSpin"
"108","13C-VAN-8","5","C4",674.988,"TopSpin"
"109","13C-VAN-8","5","C5",685.815,"TopSpin"
"110","13C-VAN-8","5","C6",682.907,"TopSpin"
"111","13C-VAN-8","5","C7",685.616,"TopSpin"
"112","13C-VAN-8","5","C8",686.549,"TopSpin"
"113","13C-VAN-8","6","C1",693.301,"TopSpin"
"114","13C-VAN-8","6","C2",679.334,"TopSpin"
"115","13C-VAN-8","6","C3",676.578,"TopSpin"
"116","13C-VAN-8","6","C4",674.472,"TopSpin"
"117","13C-VAN-8","6","C5",687.556,"TopSpin"
"118","13C-VAN-8","6","C6",683.204,"TopSpin"
"119","13C-VAN-8","6","C7",687.877,"TopSpin"
"120","13C-VAN-8","6","C8",688.767,"TopSpin"
"121","13C-VAN-8","7","C1",692.8,"TopSpin"
"122","13C-VAN-8","7","C2",680.166,"TopSpin"
"123","13C-VAN-8","7","C3",676.78,"TopSpin"
"124","13C-VAN-8","7","C4",675.257,"TopSpin"
