"","file","Replicate","Resonance","Area","Name"
"1","2H-VAN-1","20","H1",752.994,"TopSpin"
"2","2H-VAN-1","20","OH2",538.82,"TopSpin"
"3","2H-VAN-1","20","H3",779.963,"TopSpin"
"4","2H-VAN-1","20","H4",422.487,"TopSpin"
"5","2H-VAN-1","20","H5",1227.936,"TopSpin"
"6","2H-VAN-1","20","TMU",1140.391,"TopSpin"
"7","2H-VAN-1","21","H1",748.169,"TopSpin"
"8","2H-VAN-1","21","OH2",551.494,"TopSpin"
"9","2H-VAN-1","21","H3",772.151,"TopSpin"
"10","2H-VAN-1","21","H4",417.792,"TopSpin"
"11","2H-VAN-1","21","H5",1231.48,"TopSpin"
"12","2H-VAN-1","21","TMU",1164.214,"TopSpin"
"13","2H-VAN-1","22","H1",761.463,"TopSpin"
"14","2H-VAN-1","22","OH2",560.881,"TopSpin"
"15","2H-VAN-1","22","H3",791.343,"TopSpin"
"16","2H-VAN-1","22","H4",428.428,"TopSpin"
"17","2H-VAN-1","22","H5",1246.215,"TopSpin"
"18","2H-VAN-1","22","TMU",1167.067,"TopSpin"
"19","2H-VAN-4","27","H1",831.603,"TopSpin"
"20","2H-VAN-4","27","OH2",515.541,"TopSpin"
"21","2H-VAN-4","27","H3",789.572,"TopSpin"
"22","2H-VAN-4","27","H4",413.029,"TopSpin"
"23","2H-VAN-4","27","H5",1174.077,"TopSpin"
"24","2H-VAN-4","27","TMU",1183.485,"TopSpin"
"25","2H-VAN-4","28","H1",845.017,"TopSpin"
"26","2H-VAN-4","28","OH2",507.949,"TopSpin"
"27","2H-VAN-4","28","H3",814.178,"TopSpin"
"28","2H-VAN-4","28","H4",429.936,"TopSpin"
"29","2H-VAN-4","28","H5",1181.252,"TopSpin"
"30","2H-VAN-4","28","TMU",1179.173,"TopSpin"
"31","2H-VAN-4","29","H1",853.664,"TopSpin"
"32","2H-VAN-4","29","OH2",532.006,"TopSpin"
"33","2H-VAN-4","29","H3",794.605,"TopSpin"
"34","2H-VAN-4","29","H4",405.439,"TopSpin"
"35","2H-VAN-4","29","H5",1172.402,"TopSpin"
"36","2H-VAN-4","29","TMU",1177.185,"TopSpin"
"37","2H-VAN-8","35","H1",717.689,"TopSpin"
"38","2H-VAN-8","35","OH2",535.884,"TopSpin"
"39","2H-VAN-8","35","H3",801.144,"TopSpin"
"40","2H-VAN-8","35","H4",445.498,"TopSpin"
"41","2H-VAN-8","35","H5",1266.952,"TopSpin"
"42","2H-VAN-8","35","TMU",1174.942,"TopSpin"
"43","2H-VAN-8","36","H1",711.228,"TopSpin"
"44","2H-VAN-8","36","OH2",520.231,"TopSpin"
"45","2H-VAN-8","36","H3",799.401,"TopSpin"
"46","2H-VAN-8","36","H4",433.397,"TopSpin"
"47","2H-VAN-8","36","H5",1264.424,"TopSpin"
"48","2H-VAN-8","36","TMU",1179.611,"TopSpin"
"49","2H-VAN-8","37","H1",714.278,"TopSpin"
"50","2H-VAN-8","37","OH2",519.041,"TopSpin"
"51","2H-VAN-8","37","H3",801.525,"TopSpin"
"52","2H-VAN-8","37","H4",446.201,"TopSpin"
"53","2H-VAN-8","37","H5",1271.039,"TopSpin"
"54","2H-VAN-8","37","TMU",1182.736,"TopSpin"
"55","2H-VAN-HR","24","H1",388.567,"TopSpin"
"56","2H-VAN-HR","24","OH2",563.874,"TopSpin"
"57","2H-VAN-HR","24","H3",944.137,"TopSpin"
"58","2H-VAN-HR","24","H4",619.296,"TopSpin"
"59","2H-VAN-HR","24","H5",1163.701,"TopSpin"
"60","2H-VAN-HR","24","TMU",1210.576,"TopSpin"
"61","2H-VAN-HR","25","H1",362.55,"TopSpin"
"62","2H-VAN-HR","25","OH2",538.338,"TopSpin"
"63","2H-VAN-HR","25","H3",937.256,"TopSpin"
"64","2H-VAN-HR","25","H4",643.925,"TopSpin"
"65","2H-VAN-HR","25","H5",1158.332,"TopSpin"
"66","2H-VAN-HR","25","TMU",1210.923,"TopSpin"
"67","2H-VAN-HR","26","H1",355.613,"TopSpin"
"68","2H-VAN-HR","26","OH2",553.049,"TopSpin"
"69","2H-VAN-HR","26","H3",932.242,"TopSpin"
"70","2H-VAN-HR","26","H4",638.455,"TopSpin"
"71","2H-VAN-HR","26","H5",1153.522,"TopSpin"
"72","2H-VAN-HR","26","TMU",1211.322,"TopSpin"
"73","2H-VAN-K","17","H1",332.735,"TopSpin"
"74","2H-VAN-K","17","OH2",514.461,"TopSpin"
"75","2H-VAN-K","17","H3",682.879,"TopSpin"
